image,label,reason
ISIC_0000000,1,missing_verified_lesion_id
ISIC_0000001,1,missing_verified_lesion_id
ISIC_0000002,0,missing_verified_lesion_id
ISIC_0000003,1,missing_verified_lesion_id
ISIC_0000004,0,missing_verified_lesion_id
ISIC_0000006,1,missing_verified_lesion_id
ISIC_0000007,1,missing_verified_lesion_id
ISIC_0000008,1,missing_verified_lesion_id
ISIC_0000009,1,missing_verified_lesion_id
ISIC_0000010,1,missing_verified_lesion_id
ISIC_0000011,1,missing_verified_lesion_id
ISIC_0000012,1,missing_verified_lesion_id
ISIC_0000013,0,missing_verified_lesion_id
ISIC_0000014,1,missing_verified_lesion_id
ISIC_0000015,1,missing_verified_lesion_id
ISIC_0000016,1,missing_verified_lesion_id
ISIC_0000017_downsampled,1,missing_verified_lesion_id
ISIC_0000018_downsampled,1,missing_verified_lesion_id
ISIC_0000019_downsampled,1,missing_verified_lesion_id
ISIC_0000020_downsampled,1,missing_verified_lesion_id
ISIC_0000021_downsampled,1,missing_verified_lesion_id
ISIC_0000022_downsampled,0,missing_verified_lesion_id
ISIC_0000023_downsampled,1,missing_verified_lesion_id
ISIC_0000024_downsampled,1,missing_verified_lesion_id
ISIC_0000025_downsampled,1,missing_verified_lesion_id
ISIC_0000026_downsampled,0,missing_verified_lesion_id
ISIC_0000027_downsampled,1,missing_verified_lesion_id
ISIC_0000028_downsampled,1,missing_verified_lesion_id
ISIC_0000029_downsampled,0,missing_verified_lesion_id
ISIC_0000030_downsampled,0,missing_verified_lesion_id
ISIC_0000031_downsampled,0,missing_verified_lesion_id
ISIC_0000032_downsampled,1,missing_verified_lesion_id
ISIC_0000034_downsampled,1,missing_verified_lesion_id
ISIC_0000035_downsampled,0,missing_verified_lesion_id
ISIC_0000036_downsampled,0,missing_verified_lesion_id
ISIC_0000037_downsampled,1,missing_verified_lesion_id
ISIC_0000038_downsampled,1,missing_verified_lesion_id
ISIC_0000039_downsampled,1,missing_verified_lesion_id
ISIC_0000040_downsampled,0,missing_verified_lesion_id
ISIC_0000041_downsampled,1,missing_verified_lesion_id
ISIC_0000042_downsampled,1,missing_verified_lesion_id
ISIC_0000043_downsampled,0,missing_verified_lesion_id
ISIC_0000044_downsampled,1,missing_verified_lesion_id
ISIC_0000045_downsampled,1,missing_verified_lesion_id
ISIC_0000046_downsampled,0,missing_verified_lesion_id
ISIC_0000047_downsampled,1,missing_verified_lesion_id
ISIC_0000048_downsampled,1,missing_verified_lesion_id
ISIC_0000049_downsampled,0,missing_verified_lesion_id
ISIC_0000050_downsampled,1,missing_verified_lesion_id
ISIC_0000051_downsampled,1,missing_verified_lesion_id
ISIC_0000052_downsampled,1,missing_verified_lesion_id
ISIC_0000053_downsampled,1,missing_verified_lesion_id
ISIC_0000054_downsampled,0,missing_verified_lesion_id
ISIC_0000055_downsampled,1,missing_verified_lesion_id
ISIC_0000056_downsampled,0,missing_verified_lesion_id
ISIC_0000057_downsampled,1,missing_verified_lesion_id
ISIC_0000058_downsampled,1,missing_verified_lesion_id
ISIC_0000059_downsampled,1,missing_verified_lesion_id
ISIC_0000060_downsampled,1,missing_verified_lesion_id
ISIC_0000061_downsampled,1,missing_verified_lesion_id
ISIC_0000062_downsampled,1,missing_verified_lesion_id
ISIC_0000063_downsampled,1,missing_verified_lesion_id
ISIC_0000064_downsampled,1,missing_verified_lesion_id
ISIC_0000065_downsampled,1,missing_verified_lesion_id
ISIC_0000066,1,missing_verified_lesion_id
ISIC_0000067,1,missing_verified_lesion_id
